Name,Score,program_id,UniquenessScore
Sult2a2,0.0009694652353084,1,0.001487092157332315
Car3,0.0009315041183909,1,0.0015176442726081687
Cdo1,0.0008664025882142,1,0.0012536143517522902
Urah,0.0008477981520236,1,0.0010960065783705523
Acat1,0.0008399261791171,1,0.0012883882662443255
Gstz1,0.0008384060501912,1,0.001365965125726643
Wfdc21,0.0008379371780961,1,0.0012124272094953435
Atp5b,0.000835633498672,1,0.001281803593384126
Hpd,0.0008345884882439,1,0.001207581926580229
Got1,0.0008319428349665,1,0.0011371629234905747
Chchd10,0.0008314027490347,1,0.001275313918070226
Gcdh,0.00082310388663,1,0.0012625840410748087
Msrb1,0.0008172473262171,1,0.0011824906700574776
Haao,0.0007953932529679,1,0.0010872041669859164
Ndrg2,0.0007935170861944,1,0.0011481549352989977
Acaa2,0.0007903909330151,1,0.0010803666145211604
Fdx1,0.0007848487312095,1,0.001361399437476015
Hgd,0.0007831095081786,1,0.0012012354497418379
Upb1,0.0007825192195226,1,0.0011322419132397676
Hadh,0.0007819592969836,1,0.0011994711058695004
Nipsnap1,0.0007819422329425,1,0.0010108701336103906
Atp5e,0.0007801446244392,1,0.001066361178419741
Aldh6a1,0.0007784248608984,1,0.0010063229865215362
Bphl,0.0007697012683176,1,0.0013351246323572731
Gnmt,0.0007609240610802,1,0.0011672045188890708
Cat,0.0007599837338639,1,0.0008810011956628958
Fah,0.0007597058060199,1,0.001099232752177135
Hibadh,0.0007589095816846,1,0.0010980806800717135
Hebp1,0.0007569548783258,1,0.0010952523826758564
Dap,0.0007524426482557,1,0.0010887235513320527
Adh1,0.0007505602908373,1,0.0010859999326506987
Sephs2,0.0007461653075898,1,0.0009646188585317209
Eef1a1,0.0007419985210563,1,0.000908039560368645
Sod1,0.0007401349861668,1,0.0010116729530833513
Mat1a,0.0007391624312324,1,0.0012821519333189595
Acadm,0.0007370621520478,1,0.0012008515384171194
Uox,0.0007369649788243,1,0.0008543170051875895
Sult2a7,0.0007345923035681,1,0.0013607470965332727
Ech1,0.0007328942491428,1,0.0012712791380509747
Qdpr,0.0007303072516472,1,0.000846599122103959
Adi1,0.0007266639468449,1,0.0010514238589053187
Dpys,0.0007183888558606,1,0.001426659552148832
Atp5j2,0.0007170613203371,1,0.0010375296363251353
Etfa,0.0007161945696193,1,0.0009258736384626711
Acot13,0.0007100905274243,1,0.001027443463733487
Hmgcl,0.0007099815981486,1,0.0011567308021661919
Prdx1,0.0007083136957609,1,0.0010248725322702312
Aldh8a1,0.00070708506238,1,0.0010230947993083378
Tmem256,0.0007060769683167,1,0.0012247618544273824
Pecr,0.0007009779051326,1,0.000958150068009161
Sult2a1,0.0006956443251325,1,0.0012886004809008235
Alad,0.0006954117752065,1,0.0012062619992025115
Gpx1,0.0006939288238718,1,0.0008044279058813191
Ndufa4,0.0006898799056814,1,0.0009982003314767394
Glyat,0.000689618286117,1,0.0011235540686811319
Apoc1,0.0006890315705346,1,0.0009969728592489424
Idh2,0.0006875873152012,1,0.001273675803882696
Tcea3,0.0006873603861886,1,0.0013650396337926529
Gstt1,0.0006871309066206,1,0.001119501529167903
Ndufa2,0.0006846861464258,1,0.00093588124955053
Msra,0.0006834402161242,1,0.001113488506591571
Akr1c6,0.0006833006959014,1,0.0009886807479533369
Cox5b,0.0006825591823358,1,0.0011839678780445216
Ndufs3,0.0006822600279816,1,0.0009325650458081755
Phyh,0.0006812954527923,1,0.0010450597791176095
Ifitm2,0.0006812458601388,1,0.0011099133728615573
Ddt,0.0006809179238972,1,0.0009852330699084508
Ass1,0.0006796635350096,1,0.0008786474748394707
Ndufb10,0.0006796562412424,1,0.0011073235013128212
Uqcrfs1,0.0006783983152055,1,0.0009272865622326454
Cps1,0.0006761222646358,1,0.00110156580335889
Aadat,0.0006726119902765,1,0.0013357505659915324
Cox7c,0.0006718055633425,1,0.0013341490702568541
Sult2a5,0.0006691008101748,1,0.0012394316960727787
Atp5d,0.0006688622982457,1,0.0010897375717990598
Acadl,0.0006685876540507,1,0.0010892901103425642
Adh5,0.0006665847917067,1,0.0009644941888570807
Gsta3,0.0006654310378366,1,0.0009628248004807968
Dcxr,0.0006636292899352,1,0.0012292963390271156
Cmbl,0.0006596513894646,1,0.0012219277394796178
Ndufv3,0.0006558419484328,1,0.0010685242900424134
Echs1,0.0006553702723049,1,0.0011368059660100704
Iah1,0.0006543974665296,1,0.0008944803715913853
Sult1d1,0.000652043110057,1,0.001062335068556677
Otc,0.0006496105256417,1,0.0009399338010662203
Dcaf11,0.0006478880203485,1,0.00120013746167187
Anp32a,0.0006477982232612,1,0.0011236714817474177
Cyb5a,0.0006475876928113,1,0.0009370069258446077
Sqor,0.00064366342725,1,0.0009873348726327665
Tpt1,0.0006418202693431,1,0.001045679602034386
Mpc1,0.0006407903948253,1,0.001044001688719151
Nadk2,0.0006407483335746,1,0.001371243827999623
H2bc4,0.000639400624177,1,0.0009251609008230363
Lap3,0.0006377235583569,1,0.0009227343224523
Abhd14b,0.0006359479467328,1,0.0010361121759753106
Agxt,0.0006343558525662,1,0.0009730577012480074
Rida,0.0006322505500525,1,0.0007737326897838182
Acads,0.0006315679743292,1,0.0010955184748207589
Cth,0.0006312216778043,1,0.0010284119470353307
Bdh1,0.0006302539944823,1,0.0010932392439915674
Pccb,0.0006301481307242,1,0.0010266628806111227
Rgn,0.0006267851078013,1,0.001021183707329092
Ndufb11,0.0006264420474282,1,0.0011604112826173354
Naca,0.0006258289484179,1,0.001019625893699213
Mt2,0.0006253455787061,1,0.0010847251008058872
Ddah1,0.0006251489126812,1,0.0009045398289204315
Ndufa10,0.0006244899524202,1,0.0010832409305473471
Sod2,0.000623450939681,1,0.0011548706022118222
Decr2,0.0006224829057866,1,0.0011530774316262438
Vamp8,0.0006206944272461,1,0.0011497644824306472
Abat,0.0006195421498169,1,0.0011476300220523274
Maob,0.0006175404602162,1,0.0011439221240807816
Uqcrc1,0.0006169136143818,1,0.001225138298887031
Ndufa3,0.0006151673055938,1,0.0015659276136576596
Ndufb1,0.0006118002098508,1,0.0009967697041044158
Raet1d,0.0006110226595433,1,0.0010598805501098557
Pah,0.0006103231340748,1,0.001058667152493925
Ube2r2,0.0006103172147838,1,0.001058656884885509
Ndufb7,0.0006100913120727,1,0.0011301234405679285
Gabarapl1,0.0006066350323874,1,0.0012047259037541904
Aldh4a1,0.0006053759354742,1,0.0010500857365801095
Papss2,0.000601221602658,1,0.0010428796264926954
Skp1,0.0006010793343824,1,0.0009793028191698988
Ndufv2,0.0006009447412667,1,0.0010423993824311504
Gamt,0.0006004180602622,1,0.0011923795225492171
Aldh9a1,0.0005998618161484,1,0.001040520939378041
Ttpa,0.0005983779253105,1,0.0009749015739955642
Cops6,0.0005961203655757,1,0.0009712234661547654
Gsto1,0.0005950646399166,1,0.0009695034351121262
Ghr,0.0005940325874563,1,0.0011003765145660446
Camk2n1,0.0005933755477955,1,0.0010991594247511934
Stard10,0.0005933035674163,1,0.0008584621943384864
Tprkb,0.0005927068386913,1,0.0011770656882335645
Dhrs4,0.0005919089297906,1,0.001266724272516153
Atp5c1,0.0005914730338771,1,0.001025969748796823
Ndufa8,0.0005894680260356,1,0.0008057298598140496
Atp5pb,0.0005894085411683,1,0.0008528264069212199
Fkbp8,0.0005893506572884,1,0.0012612494000971918
Sord,0.0005885791904705,1,0.0010209500849696067
Ndufs8,0.0005872993924197,1,0.0010187301459200053
Ndufb6,0.0005867924945616,1,0.001017850880360371
Fmo5,0.0005858517658713,1,0.0010852224908103174
Bbox1,0.0005856334622399,1,0.0010158404216719214
Uroc1,0.0005846689886149,1,0.0007558415362921788
Oaz1,0.000583724557146,1,0.0011592276362340787
Lypla1,0.0005823323224607,1,0.0010101142611269375
Hmgcs2,0.0005823200879031,1,0.0008932384620293161
Glud1,0.0005808442425427,1,0.0009463349872194942
Fabp1,0.0005804541301934,1,0.0009456994003649653
Gdi2,0.0005803262200027,1,0.0008396850240175889
Ppia,0.0005799892900094,1,0.0009449420638926967
Suclg2,0.0005793324231885,1,0.0008382470805419413
Ninj1,0.0005751954651749,1,0.0011422895804270342
Slc25a23,0.0005744435277175,1,0.0009964303494396426
Amacr,0.0005742159497489,1,0.0012288601245974958
Mpc2,0.0005732454762599,1,0.0010618708004870604
Akr1a1,0.0005730537972753,1,0.0008291624175213763
Slc25a39,0.0005713579065523,1,0.0009910780277099587
Pink1,0.0005702441437477,1,0.0008747148046645776
Txn1,0.0005673681646469,1,0.0009243792147950937
Mt1,0.0005672183707914,1,0.0010507062862021637
Serpina1a,0.0005664686710622,1,0.0011249589048758317
Edf1,0.0005664097379336,1,0.000922817707139425
Cox7a2l,0.0005655973736765,1,0.001210415801567434
Dhrs1,0.0005641693473309,1,0.0010450583236507123
Ptms,0.0005636927853601,1,0.0009777821004002907
Sec14l2,0.000563679282696,1,0.0009777586786648925
Hspd1,0.0005629719023696,1,0.0009765316560041582
Uqcrc2,0.0005626884116539,1,0.0011174516291846033
Atp5md,0.0005626055968579,1,0.0012040132012292157
Slc25a5,0.0005625017604404,1,0.0009757161473175856
Trap1,0.0005610771506252,1,0.0011142518009594755
Ivd,0.0005591084280263,1,0.0011103420842672707
Ndufab1,0.0005589190518663,1,0.0010353327598588043
Akr1c14,0.0005587652758674,1,0.0009692348372338184
Mthfd1,0.0005586847443062,1,0.0012974825896902033
Carhsp1,0.0005570449067119,1,0.0010318611231904856
Pdk2,0.0005562631952962,1,0.0015760123077205427
Cfhr2,0.0005513158017622,1,0.000845680046229958
Aass,0.0005512924361812,1,0.001094820185041856
Scp2,0.0005502176733067,1,0.0009544081568109901
Psmb6,0.000548482145625,1,0.001273788199797935
Pxmp2,0.000547980718286,1,0.0010882433931962345
Glrx3,0.0005479531432554,1,0.0012725596511907716
H3f3a,0.0005465818130484,1,0.0010854652856246989
Shmt2,0.0005443947045359,1,0.0012642955768051997
Psme1,0.000543440728506,1,0.001006660959910142
Ahcy,0.0005433614328341,1,0.0012618959192932156
Aldh2,0.0005417020073222,1,0.0009396368736069437
Sult1a1,0.000541610996005,1,0.0007836672314866848
Glo1,0.0005396270374076,1,0.0008791822456790103
Cyp2c70,0.0005384727586174,1,0.0011523673306815928
Commd1,0.0005382653494821,1,0.001151923461409137
Gsta4,0.00053762192692,1,0.0007778953717033539
Psma6,0.0005376081182189,1,0.0007348437821820872
Ndufb4,0.000537380953829,1,0.000995435929703153
Aldh7a1,0.0005370145149992,1,0.0009315059444763445
Gadd45gip1,0.000535062213898,1,0.001242621915148017
Sdhb,0.0005346869601637,1,0.0009904456186961767
Hibch,0.0005340861337393,1,0.0013595329551636967
Osbpl9,0.000533205729459,1,0.0012383104384839736
Tomm7,0.0005327550090198,1,0.0011401309682364245
Aco1,0.0005325903147047,1,0.0009865618260033644
Idh1,0.0005303648162911,1,0.0008135426935454702
Uqcc2,0.0005299112663291,1,0.001230659417766145
Cpt2,0.0005293962717995,1,0.0009806452317396585
Btf3,0.0005292674667928,1,0.0013472668877639342
Lgals9,0.0005291774333009,1,0.0007656768735845933
Hagh,0.0005288433823956,1,0.000979621068203767
Pomp,0.0005285132070937,1,0.0008610751427799211
Aldh1a1,0.0005284366876056,1,0.0007223075712665485
Ubl5,0.0005278062056849,1,0.0014953875850221385
Gls2,0.0005264457309854,1,0.000680572354325008
Akr1d1,0.0005261942765322,1,0.0010449773611833101
Psmb7,0.0005260117553262,1,0.0009743758072686395
Dbt,0.0005246061361548,1,0.0010418234486175915
Fech,0.0005230608973119,1,0.0008521920186482446
Ufc1,0.0005226875445669,1,0.000851583737220471
Fis1,0.000522679242959,1,0.0010379968015846758
Nit2,0.0005225674121532,1,0.0009679955607708766
Micos13,0.0005221594324213,1,0.0011174557332752416
Sdhc,0.0005201126702106,1,0.0009634484358487848
Gabarap,0.0005193441712188,1,0.0011114308880343677
Atp5l,0.0005172185749466,1,0.0013165960567812526
Adk,0.0005169152236926,1,0.00084217923804373
Serpinb1a,0.0005166456753535,1,0.0011056559283407047
Gnpnat1,0.0005165916627621,1,0.0011997261340030104
Scly,0.0005159988113121,1,0.001198349303075574
Morf4l1,0.0005155632898322,1,0.0011973378533387316
Grpel1,0.0005150850957888,1,0.0008391975194699676
Hao2,0.0005147915827153,1,0.000892958022682873
Ppdpf,0.0005134498787609,1,0.0014547130480094283
Pdcd4,0.00051257054201,1,0.001017921775850277
Dynlrb1,0.0005110561551531,1,0.0008326334060541183
Cox5a,0.0005095616156302,1,0.0011833996388708242
Ube2l3,0.0005091901301227,1,0.0014426442713253548
Naprt,0.0005091691314067,1,0.0010896556296202651
Arcn1,0.0005091189113498,1,0.0008294771699144408
Mtx2,0.0005086012432816,1,0.0012946603695502077
H1f4,0.0005083822537628,1,0.0012941029248819487
Atp5g3,0.0005081932453727,1,0.0008815125397645924
Snx3,0.0005077817929285,1,0.0010084117249019205
Rdx,0.000507766660243,1,0.0010083816726674764
Smdt1,0.0005073577653034,1,0.0008800633151546289
Akr1c13,0.0005068694062095,1,0.0010065998019895643
Rab17,0.0005052471110241,1,0.0014314728569993326
Pgk1,0.0005047797613163,1,0.0009350459993435488
Rab7,0.0005042873446269,1,0.0012836792056221367
Car1,0.0005029496546727,1,0.0011680441019360879
Atp5k,0.0005029479959703,1,0.0007277250027992095
Adssl1,0.0005022279995521,1,0.0011663681389457218
Uqcrq,0.0005019732421074,1,0.0009968764338886195
Srp9,0.0005010485618101,1,0.0008691193641164923
Cbs,0.0005008184603082,1,0.0007246437372248771
Fbxo21,0.00050017489211,1,0.0011616000274337521
Hacl1,0.0004998776975628,1,0.0008670883817574094
Nipsnap3b,0.0004988626847113,1,0.0012698705641691578
Gatd3a,0.0004987737111189,1,0.0016153676707068426
Cwc15,0.0004973644505154,1,0.0012660567621713072
Rp9,0.0004969103082148,1,0.0010634209369029964
Ndufa7,0.000496541800335,1,0.0014068088545908192
Sfxn1,0.0004950114379802,1,0.000716241446384159
Dmgdh,0.0004931383782556,1,0.0009134816865641534
Tomm6,0.0004929587935096,1,0.0011448414486557798
Pnp,0.0004928965357722,1,0.0009788508622368293
Sdhd,0.0004927818209056,1,0.0010545857009061537
Gcat,0.0004924192655245,1,0.0011435884554884307
Sf3b6,0.0004920950620314,1,0.00114283552927718
Coq8a,0.00049194192118,1,0.0009112653885116942
Sdha,0.0004914726695796,1,0.0010517840304504849
Nadk,0.0004910040546955,1,0.0009095280995562828
Etfdh,0.0004902783370271,1,0.0008504373208411335
Atp5j,0.0004894854301214,1,0.0008490619436856816
Gclm,0.000489391267954,1,0.0007081095156859204
Gch1,0.0004889734414749,1,0.000848173847639116
Cmpk1,0.0004886664865114,1,0.0010457786130176538
Coq9,0.0004874344263672,1,0.001240779575174277
Adh4,0.0004870572419848,1,0.0009022170864806498
H2az2,0.0004867887396455,1,0.0011305121913282648
Sult1b1,0.0004865970682831,1,0.0011300670561098956
Txn2,0.0004864796386738,1,0.001129794339027259
Cox7b,0.0004855671935688,1,0.0007448262599992254
Acsm3,0.000484394631737,1,0.0015687984561507222
Ghitm,0.0004841616400904,1,0.0007426702388462081
Etfb,0.0004839262407977,1,0.0008394189680176893
Cmc1,0.0004830296569756,1,0.0013685260697181667
Csde1,0.0004822282063749,1,0.00103200026754642
Ppm1a,0.0004813171091137,1,0.0008348931654449764
Selenoo,0.0004813052001055,1,0.0015587927804963481
Ndufc1,0.0004793020877451,1,0.0012200784529004449
Plekhb1,0.0004788714736489,1,0.001024816637419607
Nherf1,0.0004788222187802,1,0.0012188569314440195
Ggact,0.0004772963346705,1,0.001545809354394387
Rnf4,0.000476873102019,1,0.0010205399899123671
Pdcd6,0.0004763288701859,1,0.0012125100346262179
Uqcr10,0.000476281356801,1,0.0012123890878191351
Ube2b,0.0004762176025924,1,0.0009457279105839836
Ccni,0.0004760433361547,1,0.0008257452733044177
Pih1d1,0.0004754581067878,1,0.0013470742526909003
Limd2,0.0004750052173684,1,0.0013457911203444744
Zfp40,0.0013495424492958,2,0.0043707340508154485
Osbpl3,0.0012564908001097,2,0.0031984366241625184
Rbm4,0.001222440075987,2,0.002616102643521589
Flcn,0.0012177778322318,2,0.003943990824772581
Echdc2,0.0012100059635801,2,0.0019713907691800998
Mlxipl,0.0012055767114144,2,0.0016478742048416772
Hjurp,0.0011742187105197,2,0.0023318991184349343
Ccnl2,0.0011690643263478,2,0.001904686994038306
Pcyt2,0.0011690307826434,2,0.0023215963321372318
Gckr,0.0011543035325269,2,0.0032703881714464416
Fxyd2,0.001096992902698,2,0.0031080149302589364
Hoxb4,0.0010915092843026,2,0.003535047599408195
Nr1i3,0.0010895977727041,2,0.0016713671036585193
Luc7l2,0.001063163725386,2,0.0017321494417695418
Gcgr,0.0010626932990515,2,0.0015376311074368446
Rsrp1,0.0010568653775515,2,0.0014446042107217954
Vegfa,0.0010498669733229,2,0.0013572347455928974
Zpr1,0.0010217040892268,2,0.001664601721776506
Ddx17,0.0010058187914816,2,0.0018631627278141109
Leng8,0.0009837387293041,2,0.0016027470182849919
Zfp36,0.0009809747323451,2,0.0013408710882747818
Rbm5,0.000972558175179,2,0.0024756772483726886
A1cf,0.0009694145300674,2,0.002251356400499449
Dpyd,0.0009522564509034,2,0.0024239985743616578
Pabpn1,0.0009378911016452,2,0.0013570524388975026
Srsf5,0.0009292745718163,2,0.0015140118049436135
