Name,Score,RowID
Sult2a2,0.0009694652353084,1
Car3,0.0009315041183909,1
Cdo1,0.0008664025882142,1
Urah,0.0008477981520236,1
Acat1,0.0008399261791171,1
Gstz1,0.0008384060501912,1
Wfdc21,0.0008379371780961,1
Atp5b,0.000835633498672,1
Hpd,0.0008345884882439,1
Got1,0.0008319428349665,1
Chchd10,0.0008314027490347,1
Gcdh,0.00082310388663,1
Msrb1,0.0008172473262171,1
Haao,0.0007953932529679,1
Ndrg2,0.0007935170861944,1
Acaa2,0.0007903909330151,1
Fdx1,0.0007848487312095,1
Hgd,0.0007831095081786,1
Upb1,0.0007825192195226,1
Hadh,0.0007819592969836,1
Nipsnap1,0.0007819422329425,1
Atp5e,0.0007801446244392,1
Aldh6a1,0.0007784248608984,1
Bphl,0.0007697012683176,1
Gnmt,0.0007609240610802,1
Cat,0.0007599837338639,1
Fah,0.0007597058060199,1
Hibadh,0.0007589095816846,1
Hebp1,0.0007569548783258,1
Dap,0.0007524426482557,1
Adh1,0.0007505602908373,1
Sephs2,0.0007461653075898,1
Eef1a1,0.0007419985210563,1
Sod1,0.0007401349861668,1
Mat1a,0.0007391624312324,1
Acadm,0.0007370621520478,1
Uox,0.0007369649788243,1
Sult2a7,0.0007345923035681,1
Ech1,0.0007328942491428,1
Qdpr,0.0007303072516472,1
Adi1,0.0007266639468449,1
Dpys,0.0007183888558606,1
Atp5j2,0.0007170613203371,1
Etfa,0.0007161945696193,1
Acot13,0.0007100905274243,1
Hmgcl,0.0007099815981486,1
Prdx1,0.0007083136957609,1
Aldh8a1,0.00070708506238,1
Tmem256,0.0007060769683167,1
Pecr,0.0007009779051326,1
Sult2a1,0.0006956443251325,1
Alad,0.0006954117752065,1
Gpx1,0.0006939288238718,1
Ndufa4,0.0006898799056814,1
Glyat,0.000689618286117,1
Apoc1,0.0006890315705346,1
Idh2,0.0006875873152012,1
Tcea3,0.0006873603861886,1
Gstt1,0.0006871309066206,1
Ndufa2,0.0006846861464258,1
Msra,0.0006834402161242,1
Akr1c6,0.0006833006959014,1
Cox5b,0.0006825591823358,1
Ndufs3,0.0006822600279816,1
Phyh,0.0006812954527923,1
Ifitm2,0.0006812458601388,1
Ddt,0.0006809179238972,1
Ass1,0.0006796635350096,1
Ndufb10,0.0006796562412424,1
Uqcrfs1,0.0006783983152055,1
Cps1,0.0006761222646358,1
Aadat,0.0006726119902765,1
Cox7c,0.0006718055633425,1
Sult2a5,0.0006691008101748,1
Atp5d,0.0006688622982457,1
Acadl,0.0006685876540507,1
Adh5,0.0006665847917067,1
Gsta3,0.0006654310378366,1
Dcxr,0.0006636292899352,1
Cmbl,0.0006596513894646,1
Ndufv3,0.0006558419484328,1
Echs1,0.0006553702723049,1
Iah1,0.0006543974665296,1
Sult1d1,0.000652043110057,1
Otc,0.0006496105256417,1
Dcaf11,0.0006478880203485,1
Anp32a,0.0006477982232612,1
Cyb5a,0.0006475876928113,1
Sqor,0.00064366342725,1
Tpt1,0.0006418202693431,1
Mpc1,0.0006407903948253,1
Nadk2,0.0006407483335746,1
H2bc4,0.000639400624177,1
Lap3,0.0006377235583569,1
Abhd14b,0.0006359479467328,1
Agxt,0.0006343558525662,1
Rida,0.0006322505500525,1
Acads,0.0006315679743292,1
Cth,0.0006312216778043,1
Bdh1,0.0006302539944823,1
Pccb,0.0006301481307242,1
Rgn,0.0006267851078013,1
Ndufb11,0.0006264420474282,1
Naca,0.0006258289484179,1
Mt2,0.0006253455787061,1
Ddah1,0.0006251489126812,1
Ndufa10,0.0006244899524202,1
Sod2,0.000623450939681,1
Decr2,0.0006224829057866,1
Vamp8,0.0006206944272461,1
Abat,0.0006195421498169,1
Maob,0.0006175404602162,1
Uqcrc1,0.0006169136143818,1
Ndufa3,0.0006151673055938,1
Ndufb1,0.0006118002098508,1
Raet1d,0.0006110226595433,1
Pah,0.0006103231340748,1
Ube2r2,0.0006103172147838,1
Ndufb7,0.0006100913120727,1
Gabarapl1,0.0006066350323874,1
Aldh4a1,0.0006053759354742,1
Papss2,0.000601221602658,1
Skp1,0.0006010793343824,1
Ndufv2,0.0006009447412667,1
Gamt,0.0006004180602622,1
Aldh9a1,0.0005998618161484,1
Ttpa,0.0005983779253105,1
Cops6,0.0005961203655757,1
Gsto1,0.0005950646399166,1
Ghr,0.0005940325874563,1
Camk2n1,0.0005933755477955,1
Stard10,0.0005933035674163,1
Tprkb,0.0005927068386913,1
Dhrs4,0.0005919089297906,1
Atp5c1,0.0005914730338771,1
Ndufa8,0.0005894680260356,1
Atp5pb,0.0005894085411683,1
Fkbp8,0.0005893506572884,1
Sord,0.0005885791904705,1
Ndufs8,0.0005872993924197,1
Ndufb6,0.0005867924945616,1
Fmo5,0.0005858517658713,1
Bbox1,0.0005856334622399,1
Uroc1,0.0005846689886149,1
Oaz1,0.000583724557146,1
Lypla1,0.0005823323224607,1
Hmgcs2,0.0005823200879031,1
Glud1,0.0005808442425427,1
Fabp1,0.0005804541301934,1
Gdi2,0.0005803262200027,1
Ppia,0.0005799892900094,1
Suclg2,0.0005793324231885,1
Ninj1,0.0005751954651749,1
Slc25a23,0.0005744435277175,1
Amacr,0.0005742159497489,1
Mpc2,0.0005732454762599,1
Akr1a1,0.0005730537972753,1
Slc25a39,0.0005713579065523,1
Pink1,0.0005702441437477,1
Txn1,0.0005673681646469,1
Mt1,0.0005672183707914,1
Serpina1a,0.0005664686710622,1
Edf1,0.0005664097379336,1
Cox7a2l,0.0005655973736765,1
Dhrs1,0.0005641693473309,1
Ptms,0.0005636927853601,1
Sec14l2,0.000563679282696,1
Hspd1,0.0005629719023696,1
Uqcrc2,0.0005626884116539,1
Atp5md,0.0005626055968579,1
Slc25a5,0.0005625017604404,1
Trap1,0.0005610771506252,1
Ivd,0.0005591084280263,1
Ndufab1,0.0005589190518663,1
Akr1c14,0.0005587652758674,1
Mthfd1,0.0005586847443062,1
Carhsp1,0.0005570449067119,1
Pdk2,0.0005562631952962,1
Cfhr2,0.0005513158017622,1
Aass,0.0005512924361812,1
Scp2,0.0005502176733067,1
Psmb6,0.000548482145625,1
Pxmp2,0.000547980718286,1
Glrx3,0.0005479531432554,1
H3f3a,0.0005465818130484,1
